stock_id,代码,名称,最新价,涨跌幅,市盈率,current_price,period_low,period_high,price_ratio,price_percentile,distance_from_low,distance_from_high,信号
4670,551000,股票551000,101.323,0.03,,101.32,99.47,101.33,1.02,100.0,1.87,0.01,连续5日小阳线+低位(距低点1.87%)
2413,600015,华夏银行,6.7,0.45,,6.7,6.31,8.72,1.06,16.9,6.18,23.17,连续5日小阳线+低位(距低点6.18%)
1342,688657,股票688657,39.04,6.52,,39.04,35.1,66.02,1.11,2.9,11.23,40.87,连续5日小阳线+低位(距低点11.23%)
1055,301221,光庭信息,53.2,1.51,,53.2,45.2,64.6,1.18,61.7,17.7,17.65,连续5日小阳线+低位(距低点17.7%)
2247,301078,孩子王,9.49,-0.21,,9.49,7.86,16.2,1.21,20.6,20.74,41.42,连续5日小阳线+低位(距低点20.74%)
3272,300922,天秦装备,21.3,0.76,,21.3,17.41,33.65,1.22,23.9,22.34,36.7,连续5日小阳线+低位(距低点22.34%)
3126,002917,金奥博,14.66,4.27,,14.66,11.87,18.76,1.24,88.5,23.5,21.86,连续5日小阳线+低位(距低点23.5%)
2566,002457,青龙管业,13.4,0.98,,13.4,10.44,15.04,1.28,95.9,28.35,10.9,连续5日小阳线+低位(距低点28.35%)
5146,603179,新泉股份,61.1,-1.36,,61.1,40.55,108.41,1.51,34.2,50.68,43.64,连续5日小阳线+低位(距低点50.68%)
