code,name,price,pct_change,turnover,amount,pe,market_cap,score
000037,深南电A,11.54,4.434,15.3473,595752022,43.189,695588,57.6074
002534,西子洁能,19.25,5.711,2.70088,422656383,33.772,1609175,57.534760000000006
603194,中力股份,38.54,3.269,3.85222,231931227,18.009,1545454,57.51144
300558,贝达药业,52.8,4.327,4.72807,1036197821,72.329,2221475,57.43714
601456,国联民生,9.3,4.494,1.90751,766173578,25.833,5282951,57.29702
002171,楚江新材,12.88,1.417,6.39749,1333788194,51.52,2090344,57.04598
000630,铜陵有色,6.45,1.575,3.62652,2599769515,33.947,8649109,56.97804
002478,常宝股份,6.91,2.827,4.04006,200497380,12.796,622456,56.56112
603500,祥和实业,13.12,3.797,19.5448,859796375,32.8,436612,56.391
002815,崇达技术,17.73,1.372,11.5193,1571656254,61.138,2188150,56.0774
600988,赤峰黄金,28.26,0.319,2.55724,1199663841,16.722,5370562,56.07148
000426,兴业银锡,36.05,1.807,2.81814,1800026820,37.56,6401167,56.05728
003025,思进智能,16.27,2.134,7.32258,268454860,30.13,461992,56.04716
600895,张江高科,32.47,3.474,2.7399,1380059733,52.371,5028595,55.9018
603867,新化股份,39.8,1.041,6.31866,535830173,28.841,865597,55.76032
002539,云图控股,11.89,3.122,3.12965,330296188,17.232,1435984,55.625299999999996
601939,建设银行,10.6,1.049,1.19489,1205206541,8.154,277296404,55.53678
603120,肯特催化,52.58,5.371,15.3182,299826633,53.111,475323,55.476600000000005
002658,雪迪龙,8.33,6.115,6.05361,178396752,34.708,529589,55.45222
601615,明阳智能,12.11,0.083,5.02373,1355293735,39.459,2738673,55.296459999999996
601211,国泰海通,17.22,0.997,1.10215,2546757742,9.897,30357010,55.1953
600089,特变电工,22.75,0.397,1.99995,2287595541,19.595,11495103,55.1909
301323,新莱福,86.48,5.618,6.61196,385578469,64.537,913131,55.07792
300602,飞荣达,41.63,1.884,7.21129,1171536615,66.079,2422297,55.07458
603296,华勤技术,104.78,1.561,2.67528,1593407262,26.065,11348331,55.03356
000603,盛达资源,27.9,2.574,3.33956,618349090,36.234,1925014,54.40112
605090,九丰能源,36.33,1.48,2.47369,623848231,16.004,2564594,54.38738
002039,黔源电力,20.83,2.51,3.41201,302218466,14.84,890604,54.35402
300483,首华燃气,18.63,1.915,6.71378,480701831,30.048,717456,54.172560000000004
001280,中国铀业,70.03,3.259,7.15141,863633554,78.685,14483477,54.07982
300684,中石科技,53.91,2.025,6.45704,709649542,47.439,1614654,53.98908
601918,新集能源,9.83,1.55,2.1587,546264621,11.915,2546503,53.9674
000933,神火股份,26.77,1.981,1.50554,899560854,14.79,6020585,53.954080000000005
002241,歌尔股份,22.72,-0.176,2.21682,1582877262,19.93,8066472,53.90564
300174,元力股份,24.9,-1.386,11.0115,997513269,39.405,906884,53.819
300015,爱尔眼科,8.41,1.939,1.49229,1007981671,24.056,7842659,53.80158
000776,广发证券,19.15,0.472,1.17346,1330066850,11.399,14984579,53.76292
000725,京东方Ａ,5.83,-3.317,9.3298,19435833039,36.438,21596843,53.708600000000004
000690,宝新能源,5.13,1.988,3.85556,426295778,10.915,1116230,53.67512
300456,赛微电子,39.95,0.176,4.02601,967933521,19.853,2925191,53.580020000000005
600011,华能国际,8.17,0.123,1.55082,1393478722,11.041,12825342,53.47064
605589,圣泉集团,61.0,1.498,15.6419,8017359033,51.261,5162970,53.2102
603185,弘元绿能,17.83,4.513,4.82693,569253157,64.601,1217926,53.192859999999996
600497,驰宏锌锗,8.44,2.801,2.36239,1003648946,41.332,4254081,53.12778
002559,亚威股份,9.98,2.149,8.32261,412893351,51.337,548665,53.09222
300049,福瑞医科,42.75,6.027,4.95157,486582502,73.707,1128562,52.98414
002345,潮宏基,8.87,2.543,2.66136,200968363,15.839,788111,52.95172
605020,永和股份,33.26,1.094,4.83412,802574538,27.488,1698983,52.95024
000887,中鼎股份,20.85,-1.882,4.25801,1158647195,17.231,2744881,52.87002
300726,宏达电子,65.4,-0.32,9.41302,1321900388,67.139,2693433,52.86604
603259,药明康德,97.07,0.031,1.33095,3180116040,14.488,28963331,52.7549
002580,圣阳股份,20.52,-0.87,12.3303,1149950341,50.049,931339,52.7294
300763,锦浪科技,92.3,1.854,3.54611,1050080210,49.096,3674106,52.65422
000063,中兴通讯,37.81,-1.588,6.15873,9493878259,32.316,18086545,52.55346
603236,移远通信,56.15,0.591,2.74201,556828184,17.547,2262580,52.25702
300139,晓程科技,40.05,1.444,8.95773,844738731,72.818,1097370,52.247460000000004
000975,山金国际,20.52,1.333,1.577,813116998,19.169,5689226,52.153
601688,华泰证券,19.29,-0.413,1.67147,2356879549,11.15,17412820,52.10394
002608,江苏国信,8.74,0.924,2.16216,722991346,9.529,3302042,52.09632
300307,慈星股份,7.75,4.307,7.0799,420066708,64.583,620429,52.0808
600547,山东黄金,26.95,1.278,1.50121,1460181442,28.67,12423760,51.836420000000004
002895,川恒股份,31.2,2.835,1.64648,303346305,14.248,1890428,51.79796
603179,新泉股份,50.5,0.298,2.94732,1068492479,30.422,3606703,51.78864
002860,星帅尔,13.33,5.962,4.43603,197793754,22.983,469409,51.75806
002422,科伦药业,38.08,2.752,1.70524,831867774,35.589,6057695,51.66648
603379,三美股份,61.1,0.659,2.32384,856204650,17.971,3730027,51.62468
603697,有友食品,11.17,6.788,3.28736,154735262,25.977,477732,51.57472
000733,振华科技,49.75,-2.604,7.19172,1991442487,26.886,2756993,51.57144
002080,中材科技,63.88,1.72,3.16741,3369986201,58.973,10719853,51.494820000000004
600522,中天科技,49.27,-1.853,8.49439,14363164879,57.491,16815603,51.429779999999994
300303,聚飞光电,9.04,1.687,5.65909,667040168,41.091,1280792,51.37918
600362,江西铜业,40.14,-0.864,1.97324,1646201023,19.391,13899396,51.354479999999995
600938,中国海油,33.82,-0.675,1.60787,1637851296,13.16,160746304,51.19074
300121,阳谷华泰,13.56,1.421,5.92874,349164916,30.133,603741,51.12048
300001,特锐德,36.31,-1.785,5.72324,2135979982,30.258,3832657,51.09148
601001,晋控煤业,20.54,0.934,1.60513,550600350,18.844,3437780,51.01226
603979,金诚信,68.11,2.916,1.08096,452839088,18.163,4248626,50.90992
600030,中信证券,25.51,-0.585,1.19559,3719902086,13.015,37807215,50.636179999999996
603977,国泰集团,12.83,2.722,3.71708,294887298,31.293,797053,50.60016
