code,name,price,pct_change,turnover,amount,pe,market_cap,score
002432,九安医疗,70.9,5.837,8.41391,2769285331,13.558,3303188,84.33882
600063,皖维高新,8.25,5.769,8.9957,1525826058,39.286,1707013,80.2984
600909,华安证券,8.39,5.402,6.96138,2858960517,18.644,4215312,80.12876
600459,贵研铂业,27.68,6.503,13.0322,2641832832,32.952,2278834,78.44460000000001
601696,中银证券,13.3,4.807,9.05779,3302606783,35.0,3694740,77.53658
600141,兴发集团,39.13,5.075,8.42261,4003672430,28.985,4702408,77.07022
600563,法拉电子,168.29,6.987,5.70511,2147745164,31.753,3786525,76.41022000000001
603283,赛腾股份,57.33,3.765,9.7211,1943814398,32.76,2021033,75.7372
000690,宝新能源,5.6,4.869,7.88043,963204502,11.915,1218497,75.36786000000001
000712,锦龙股份,9.55,6.585,7.04103,602264998,29.844,855680,73.83706000000001
920186,中科仪,91.32,4.247,8.03659,847204676,18.599,2044099,73.81418
002709,天赐材料,52.28,6.65,9.38949,7209801101,73.634,10657601,73.72898
300763,锦浪科技,93.06,6.72,6.82554,2021570668,49.5,3704359,73.65108000000001
002245,蔚蓝锂芯,20.98,4.586,7.40832,2448882967,34.036,3582628,73.57464
300562,乐心医疗,12.78,8.766,10.9992,226391751,33.899,279388,73.0016
600366,宁波韵升,14.39,8.277,13.6405,2141547932,46.812,1581520,72.719
000733,振华科技,56.34,8.597,16.1648,5029969234,30.447,3122191,72.6704
300401,花园生物,15.59,6.127,15.3897,1287872845,27.839,847605,72.6016
002443,金洲管道,11.7,7.834,8.61244,508885305,41.387,609027,72.22488
600338,西藏珠峰,18.43,2.789,10.9343,1820182870,32.905,1684889,71.4984
601958,金钼股份,28.88,2.886,8.82815,8140625409,29.469,9318434,71.3143
605589,圣泉集团,67.06,4.536,11.3617,6370102075,56.353,5675881,70.8846
600961,株冶集团,27.16,2.182,10.4054,2111462700,27.434,2913922,70.73519999999999
603890,春秋电子,24.96,3.183,12.141,1344821777,39.0,1115289,70.267
600522,中天科技,54.15,5.453,9.30521,17060543680,63.186,18481122,69.96942
000021,深科技,40.77,3.294,9.93152,6337496118,56.219,6418706,69.74504
300037,新宙邦,80.4,3.903,8.75917,3825457573,55.068,6061247,69.22734
002171,楚江新材,14.34,4.139,11.6305,2669154874,57.36,2327293,69.156
300641,正丹股份,18.63,4.253,5.62288,539492133,13.699,979090,69.00476
600378,昊华科技,58.0,3.074,10.1466,6460086226,51.795,7481998,68.9288
000725,京东方Ａ,6.1,3.041,7.35948,15822472936,38.125,22597040,68.84196
603373,安邦护卫,38.5,6.295,12.6126,307019626,32.627,579570,68.65979999999999
300121,阳谷华泰,12.04,5.337,8.72917,442082915,26.756,536065,68.46934
603267,鸿远电子,72.23,5.569,11.7251,1953307391,66.88,1669097,68.2568
920491,奥迪威,31.96,6.533,9.18592,333128401,47.701,451094,67.97084
300041,回天新材,14.31,2.802,10.2748,794945343,35.964,800551,67.85640000000001
000700,模塑科技,16.11,1.705,11.3373,1690308558,30.627,1478923,67.4404
