代码,名称,最新价,涨跌幅,市盈率,换手率,粘合位置,粘合度,距粘合天数,均线发散,量比,成交量放大,MACD金叉,价格突破,MA5,MA10,MA20,MA30
301029,怡合达,29.85,-1.192,36.852,4.21827,7,2.21,3,False,0.77,False,True,False,29.7,29.01,29.55,29.32
300889,爱克股份,24.11,-2.861,-67.706,4.65804,7,1.13,3,False,1.15,False,True,False,24.31,23.82,23.86,23.79
600007,中国国贸,21.25,-6.634,17.857,0.47529,6,0.47,3,True,1.21,False,True,False,21.98,21.7,21.43,21.48
600016,民生银行,3.57,-0.833,5.667,0.57536,6,2.28,3,True,0.9,False,True,False,3.57,3.56,3.56,3.6
301418,协昌科技,46.0,-6.656,657.143,22.0569,6,1.81,4,True,0.7,False,True,False,47.4,44.35,43.61,43.34
603488,展鹏科技,12.1,-0.82,-20.862,3.84108,6,0.57,4,True,0.57,False,True,False,12.24,11.83,11.61,11.73
603015,弘讯科技,12.72,0.315,115.636,2.50281,6,2.95,4,False,0.78,False,True,False,12.8,12.2,12.41,12.33
600000,浦发银行,9.55,-0.417,6.283,0.21768,5,1.47,4,True,0.89,False,True,False,9.44,9.37,9.23,9.21
002046,国机精工,57.73,-2.45,118.13,3.77728,6,0.78,4,True,0.62,False,True,False,59.44,56.53,54.9,55.09
002522,浙江众成,6.96,-4.527,116.0,7.80324,6,2.41,4,True,0.98,False,True,False,7.19,6.87,6.78,6.8
301072,中捷精工,35.0,-1.13,-67.308,13.1347,5,2.88,5,True,0.9,False,True,False,32.68,28.31,26.38,25.92
002129,TCL中环,10.13,0.0,-4.368,6.47206,5,3.0,5,False,0.9,False,True,False,9.68,9.55,9.56,9.42
600881,亚泰集团,1.68,-5.085,-2.667,6.061,4,1.83,5,True,1.16,False,True,False,1.67,1.6,1.55,1.56
600630,龙头股份,8.95,0.562,81.364,8.25856,4,1.95,5,True,0.99,False,True,False,8.74,8.35,8.12,8.16
301428,世纪恒通,37.3,-2.687,-101.166,14.4117,5,2.25,5,True,0.96,False,True,False,36.93,35.7,34.97,34.86
600688,上海石化,2.89,-3.344,-21.25,2.5274,4,2.68,5,True,0.47,False,True,False,3.16,3.05,2.96,2.97
300720,海川智能,73.87,6.857,622.85,6.99503,5,1.9,5,True,1.1,False,True,False,71.76,70.35,69.3,68.82
301528,多浦乐,89.32,3.022,83.15,10.1724,5,1.64,5,True,0.94,False,True,False,88.94,79.88,75.15,74.59
600036,招商银行,38.73,-0.437,6.795,0.28817,4,1.67,5,True,0.79,False,True,False,38.64,38.48,37.87,38.03
002472,双环传动,41.08,-3.771,27.387,5.13921,7,2.32,3,False,0.71,False,False,False,43.31,41.61,42.55,41.91
300545,联得装备,34.6,-3.675,56.721,9.58303,7,1.49,3,False,0.75,False,False,False,35.77,34.8,35.35,35.04
601636,旗滨集团,6.63,0.455,28.99,3.79389,7,2.12,3,False,0.61,False,False,False,6.85,6.69,6.72,6.66
603159,上海亚虹,26.5,-2.214,-662.5,2.48643,7,1.97,3,False,0.76,False,False,False,27.08,26.43,26.85,26.4
002832,比音勒芬,20.39,-2.487,21.24,3.56931,7,1.75,3,False,0.88,False,False,False,20.53,20.21,20.24,20.16
603813,*ST原尚,37.87,-0.838,-56.522,0.32957,7,2.05,3,False,0.49,False,False,False,37.28,36.56,36.86,37.23
002387,维信诺,8.21,-3.638,-4.799,3.02604,6,1.78,4,False,0.69,False,False,False,8.69,8.43,8.46,8.37
002571,德力股份,11.89,-2.14,-17.917,3.04063,5,2.89,5,True,0.66,False,False,False,12.4,12.23,12.17,11.99
002457,青龙管业,11.77,-4.927,30.179,8.04896,5,2.22,5,False,0.66,False,False,False,12.37,12.24,12.34,12.12
