代码,名称,价格,涨跌幅,成交额亿,换手率,市盈率,得分,信号
600893,航发动力,37.98,-3.8,13.37,1.31,亏损,20,"跌3.8%, 放量"
601138,工业富联,71.13,-4.83,105.3,0.74,亏损,20,"跌4.8%, 放量"
601225,陕西煤业,26.63,-1.37,17.81,0.69,亏损,20,"跌1.4%, 放量"
601088,中国神华,47.51,-3.0,16.35,0.21,亏损,20,"跌3.0%, 放量"
601127,赛力斯,68.88,-3.95,21.17,1.97,亏损,20,"跌3.9%, 放量"
601390,中国中铁,4.49,-0.66,5.2,0.57,亏损,20,"跌0.7%, 放量"
601318,中国平安,53.22,-1.32,47.79,0.85,亏损,20,"跌1.3%, 放量"
601899,紫金矿业,27.7,-2.7,83.86,1.48,亏损,20,"跌2.7%, 放量"
603501,豪威集团,90.18,-3.36,19.3,1.75,亏损,20,"跌3.4%, 放量"
605117,德业股份,103.7,-0.16,16.43,1.27,亏损,20,"跌0.2%, 放量"
