代码,名称,价格,涨跌幅,成交额亿,换手率,市盈率,得分,信号
603283,赛腾股份,50.93,2.76,14.04,7.86,29.1,50,"涨2.8%, 放量, 换手7.9%"
300274,阳光电源,146.75,2.23,81.14,3.46,22.4,50,"涨2.2%, 放量, 换手3.5%"
300347,泰格医药,39.7,2.42,10.43,4.64,38.2,50,"涨2.4%, 放量, 换手4.6%"
002049,紫光国微,71.42,-2.16,16.09,2.64,41.8,40,"跌2.2%, 放量, 换手2.6%"
000977,浪潮信息,57.84,-2.61,25.6,3.01,35.3,40,"跌2.6%, 放量, 换手3.0%"
300620,光库科技,293.45,2.39,44.01,6.0,413.9,40,"涨2.4%, 放量, 换手6.0%"
300014,亿纬锂能,55.1,-0.47,25.29,2.17,27.3,40,"跌0.5%, 放量, 换手2.2%"
002281,光迅科技,205.4,1.38,86.38,5.37,169.8,40,"涨1.4%, 放量, 换手5.4%"
000063,中兴通讯,37.81,-1.59,94.94,6.16,32.3,40,"跌1.6%, 放量, 换手6.2%"
000858,五 粮 液,79.79,0.82,29.79,0.97,34.6,40,"涨0.8%, 放量"
000568,泸州老窖,85.48,0.08,7.98,0.64,11.6,40,"涨0.1%, 放量"
601225,陕西煤业,26.93,1.13,16.27,0.63,15.6,40,"涨1.1%, 放量"
601633,长城汽车,17.52,2.28,7.07,0.65,15.1,40,"涨2.3%, 放量"
603259,药明康德,97.07,0.03,31.8,1.33,14.5,40,"涨0.0%, 放量"
601211,国泰海通,17.22,1.0,25.47,1.1,9.9,40,"涨1.0%, 放量"
600547,山东黄金,26.95,1.28,14.6,1.5,28.7,40,"涨1.3%, 放量"
600887,伊利股份,25.61,0.12,9.7,0.6,14.0,40,"涨0.1%, 放量"
002460,赣锋锂业,69.94,3.46,60.99,7.24,87.4,40,"涨3.5%, 放量, 换手7.2%"
002241,歌尔股份,22.72,-0.18,15.83,2.22,19.9,40,"跌0.2%, 放量, 换手2.2%"
300760,迈瑞医疗,146.88,2.35,13.99,0.79,21.9,40,"涨2.4%, 放量"
601336,新华保险,59.22,2.05,20.49,1.65,5.1,40,"涨2.1%, 放量"
601888,中国中免,57.01,-1.79,25.65,2.28,32.9,40,"跌1.8%, 放量, 换手2.3%"
300033,同花顺,193.04,-2.7,28.1,3.31,32.4,40,"跌2.7%, 放量, 换手3.3%"
600519,贵州茅台,1279.0,0.24,32.3,0.2,19.5,40,"涨0.2%, 放量"
000166,申万宏源,4.42,0.91,4.76,0.48,11.6,35,"涨0.9%, 成交活跃"
603444,吉比特,327.42,0.54,3.85,1.64,13.1,35,"涨0.5%, 成交活跃"
002624,完美世界,13.21,-5.24,9.57,3.9,33.9,35,"放量, 换手3.9%"
002304,洋河股份,43.36,0.28,2.17,0.33,29.6,35,"涨0.3%, 成交活跃"
300769,德方纳米,61.02,1.28,15.08,9.81,亏损,35,"涨1.3%, 放量, 换手9.8%, 亏损"
002821,凯莱英,113.61,0.18,4.9,1.35,36.0,35,"涨0.2%, 成交活跃"
600862,中航高科,17.15,0.12,2.63,1.11,23.2,35,"涨0.1%, 成交活跃"
603501,豪威集团,85.17,-5.56,24.2,2.31,25.3,35,"放量, 换手2.3%"
000001,平安银行,11.3,-0.18,13.08,0.6,5.5,30,"跌0.2%, 放量"
601398,工商银行,7.66,-0.39,21.87,0.11,7.7,30,"跌0.4%, 放量"
000625,长安汽车,7.44,-0.4,5.8,0.95,18.1,30,"跌0.4%, 放量"
601899,紫金矿业,27.33,-1.34,88.07,1.57,14.0,30,"跌1.3%, 放量"
601688,华泰证券,19.29,-0.41,23.57,1.67,11.2,30,"跌0.4%, 放量"
002594,比亚迪,89.8,-0.56,28.21,0.9,25.1,30,"跌0.6%, 放量"
600036,招商银行,38.73,-0.44,23.04,0.29,6.8,30,"跌0.4%, 放量"
600104,上汽集团,10.87,-1.98,10.35,0.83,12.3,30,"跌2.0%, 放量"
300059,东方财富,17.36,-2.36,44.91,1.93,22.7,30,"跌2.4%, 放量"
002230,科大讯飞,40.79,-3.55,20.98,2.33,113.3,30,"跌3.5%, 放量, 换手2.3%"
002475,立讯精密,64.58,-1.42,79.11,1.68,28.2,30,"跌1.4%, 放量"
605117,德业股份,101.2,-2.41,16.85,1.31,28.8,30,"跌2.4%, 放量"
603019,中科曙光,81.37,-1.61,25.99,2.18,54.6,30,"跌1.6%, 放量, 换手2.2%"
601601,中国太保,32.06,-1.38,17.11,0.77,5.8,30,"跌1.4%, 放量"
601318,中国平安,52.64,-1.09,34.26,0.61,6.9,30,"跌1.1%, 放量"
601138,工业富联,69.52,-2.26,103.44,0.75,39.1,30,"跌2.3%, 放量"
601127,赛力斯,67.71,-1.7,20.36,1.94,18.4,30,"跌1.7%, 放量"
600030,中信证券,25.51,-0.58,37.2,1.2,13.0,30,"跌0.6%, 放量"
300750,宁德时代,382.2,-1.62,103.02,0.63,23.7,30,"跌1.6%, 放量"
300308,中际旭创,1124.0,-2.0,345.59,2.76,114.7,30,"跌2.0%, 放量, 换手2.8%"
300502,新易盛,526.0,-4.55,356.1,5.32,54.7,30,"跌4.5%, 放量, 换手5.3%"
300496,中科创达,59.39,-4.81,11.11,5.03,60.7,30,"跌4.8%, 放量, 换手5.0%"
002074,国轩高科,28.35,-1.49,6.51,1.32,21.5,30,"跌1.5%, 放量"
300124,汇川技术,69.21,-1.27,22.82,1.36,37.0,30,"跌1.3%, 放量"
601288,农业银行,6.68,-0.45,21.52,0.1,8.6,30,"跌0.4%, 放量"
601088,中国神华,47.29,-0.46,13.34,0.17,17.8,30,"跌0.5%, 放量"
600893,航发动力,38.19,0.55,12.77,1.26,159.1,30,"涨0.6%, 放量"
601166,兴业银行,18.79,-0.53,19.05,0.48,5.4,30,"跌0.5%, 放量"
601390,中国中铁,4.46,-0.67,6.22,0.68,5.3,30,"跌0.7%, 放量"
000895,双汇发展,24.17,-0.62,2.32,0.28,16.4,25,"跌0.6%, 成交活跃"
000983,山西焦煤,7.17,0.0,6.46,1.59,33.9,25,放量
001979,招商蛇口,8.27,1.1,2.95,0.43,103.4,25,"涨1.1%, 成交活跃"
002747,埃斯顿,33.35,-6.84,39.36,14.9,667.0,25,"放量, 换手14.9%"
002459,晶澳科技,8.9,-2.73,8.85,3.0,亏损,25,"跌2.7%, 放量, 换手3.0%, 亏损"
300474,景嘉微,51.6,-3.13,5.03,2.38,亏损,25,"跌3.1%, 放量, 换手2.4%, 亏损"
601186,中国铁建,6.31,-0.16,2.49,0.34,5.3,25,"跌0.2%, 成交活跃"
600054,黄山旅游,10.76,-4.27,1.33,2.38,26.9,25,"跌4.3%, 换手2.4%"
300364,中文在线,21.84,-4.5,7.54,5.19,亏损,25,"跌4.5%, 放量, 换手5.2%, 亏损"
600745,*ST闻泰,17.94,-4.98,7.51,3.32,亏损,25,"跌5.0%, 放量, 换手3.3%, 亏损"
601668,中国建筑,4.74,0.0,7.59,0.39,5.0,25,放量
601012,隆基绿能,13.64,-3.12,32.98,3.19,亏损,25,"跌3.1%, 放量, 换手3.2%, 亏损"
603369,今世缘,24.37,-0.25,2.6,0.87,11.7,25,"跌0.2%, 成交活跃"
300624,万兴科技,51.74,-4.45,3.56,3.98,亏损,20,"跌4.5%, 成交活跃, 换手4.0%, 亏损"
