代码,名称,最新价,涨跌幅,市盈率,换手率,连续阳线,平均涨幅,价格分位,期间最低,期间最高
300632,光莆股份,26.72,0.83,-639.234,13.6051,5,1.55,8.7,24.93,42.24
300938,信测标准,37.88,0.212,44.299,4.11245,5,1.69,13.0,35.02,64.5
