代码,名称,价格,涨跌幅,成交额亿,换手率,市盈率,得分,信号
002821,凯莱英,113.4,1.81,4.59,1.28,35.9,35,"涨1.8%, 成交活跃"
600054,黄山旅游,11.24,4.95,1.77,3.11,28.1,35,"涨4.9%, 换手3.1%"
601186,中国铁建,6.32,0.8,2.47,0.34,5.4,35,"涨0.8%, 成交活跃"
603444,吉比特,325.65,0.35,3.9,1.68,13.1,35,"涨0.4%, 成交活跃"
000895,双汇发展,24.32,1.0,2.43,0.29,16.5,35,"涨1.0%, 成交活跃"
002304,洋河股份,43.24,3.0,3.73,0.58,29.5,35,"涨3.0%, 成交活跃"
002281,光迅科技,202.6,-3.62,83.75,5.31,167.4,30,"跌3.6%, 放量, 换手5.3%"
002460,赣锋锂业,67.6,-0.5,50.66,6.1,84.5,30,"跌0.5%, 放量, 换手6.1%"
000983,山西焦煤,7.17,-3.89,6.5,1.58,33.9,30,"跌3.9%, 放量"
002230,科大讯飞,42.29,-4.99,23.33,2.48,117.5,30,"跌5.0%, 放量, 换手2.5%"
000625,长安汽车,7.47,-2.73,7.09,1.14,18.2,30,"跌2.7%, 放量"
002074,国轩高科,28.78,-3.03,6.62,1.32,21.8,30,"跌3.0%, 放量"
300122,智飞生物,12.59,4.05,3.89,2.24,亏损,30,"涨4.0%, 成交活跃, 换手2.2%, 亏损"
300014,亿纬锂能,55.36,-2.64,21.09,1.79,27.4,30,"跌2.6%, 放量"
605117,德业股份,103.7,-0.16,16.43,1.27,29.5,30,"跌0.2%, 放量"
603501,豪威集团,90.18,-3.37,19.3,1.76,26.8,30,"跌3.4%, 放量"
601088,中国神华,47.51,-3.0,16.35,0.21,17.9,30,"跌3.0%, 放量"
601390,中国中铁,4.49,-0.66,5.2,0.57,5.3,30,"跌0.7%, 放量"
601225,陕西煤业,26.63,-1.37,17.81,0.69,15.4,30,"跌1.4%, 放量"
601127,赛力斯,68.88,-3.95,21.17,1.97,18.7,30,"跌3.9%, 放量"
601138,工业富联,71.13,-4.83,105.3,0.74,40.0,30,"跌4.8%, 放量"
600547,山东黄金,26.61,-2.53,14.39,1.51,28.3,30,"跌2.5%, 放量"
601899,紫金矿业,27.7,-2.71,83.86,1.48,14.2,30,"跌2.7%, 放量"
300502,新易盛,772.5,-1.68,240.39,3.45,80.4,30,"跌1.7%, 放量, 换手3.4%"
600104,上汽集团,11.09,-2.03,7.24,0.57,12.5,30,"跌2.0%, 放量"
002594,比亚迪,90.31,-1.72,21.82,0.69,25.2,30,"跌1.7%, 放量"
300059,东方财富,17.78,-0.56,41.36,1.74,23.2,30,"跌0.6%, 放量"
300750,宁德时代,388.5,-2.75,95.36,0.57,24.1,30,"跌2.8%, 放量"
300308,中际旭创,1147.0,-2.8,263.83,2.06,117.0,30,"跌2.8%, 放量, 换手2.1%"
000888,峨眉山Ａ,9.81,1.76,0.95,1.84,23.5,25,涨1.8%
601012,隆基绿能,14.08,8.81,33.96,3.37,亏损,25,"涨幅较大8.8%, 放量, 换手3.4%, 亏损"
002459,晶澳科技,9.15,9.98,7.02,2.5,亏损,25,"涨幅较大10.0%, 放量, 换手2.5%, 亏损"
002475,立讯精密,65.51,-5.52,89.07,1.85,28.6,25,放量
600048,保利发展,5.19,0.39,3.9,0.63,57.7,25,"涨0.4%, 成交活跃"
300620,光库科技,286.6,-7.14,42.35,5.96,404.2,25,"放量, 换手6.0%"
300496,中科创达,62.39,-5.48,13.23,5.64,63.7,25,"放量, 换手5.6%"
300364,中文在线,22.87,-3.67,7.14,4.64,亏损,25,"跌3.7%, 放量, 换手4.6%, 亏损"
300769,德方纳米,60.25,-1.94,7.88,5.16,亏损,25,"跌1.9%, 放量, 换手5.2%, 亏损"
603369,今世缘,24.43,-0.33,2.46,0.81,11.7,25,"跌0.3%, 成交活跃"
600862,中航高科,17.13,-1.15,2.19,0.92,23.1,25,"跌1.2%, 成交活跃"
600745,*ST闻泰,18.88,-4.98,9.44,3.99,亏损,25,"跌5.0%, 放量, 换手4.0%, 亏损"
000002,万 科Ａ,3.15,0.96,3.73,1.23,亏损,20,"涨1.0%, 成交活跃, 亏损"
300474,景嘉微,53.27,-2.02,4.61,2.1,亏损,20,"跌2.0%, 成交活跃, 换手2.1%, 亏损"
300624,万兴科技,54.15,-4.31,3.59,3.82,亏损,20,"跌4.3%, 成交活跃, 换手3.8%, 亏损"
002747,埃斯顿,35.8,-4.61,72.49,24.8,716.0,20,"跌4.6%, 放量"
600893,航发动力,37.98,-3.8,13.37,1.31,158.2,20,"跌3.8%, 放量"
