代码,名称,价格,涨跌幅,成交额亿,换手率,市盈率,得分,信号
601668,中国建筑,4.74,0.85,7.75,0.4,5.0,70,"新闻热点, 涨0.9%, 放量"
603259,药明康德,97.04,3.81,55.4,2.33,14.5,50,"涨3.8%, 放量, 换手2.3%"
603283,赛腾股份,49.56,3.96,12.79,7.48,28.3,50,"涨4.0%, 放量, 换手7.5%"
601688,华泰证券,19.37,3.14,29.0,2.08,11.2,50,"涨3.1%, 放量, 换手2.1%"
601888,中国中免,58.05,1.17,31.98,2.84,33.5,50,"涨1.2%, 放量, 换手2.8%"
300347,泰格医药,38.76,4.73,7.69,3.5,37.3,50,"涨4.7%, 放量, 换手3.5%"
000001,平安银行,11.32,1.71,17.38,0.8,5.5,40,"涨1.7%, 放量"
002241,歌尔股份,22.76,-4.49,22.97,3.18,20.0,40,"跌4.5%, 放量, 换手3.2%"
300033,同花顺,198.4,-4.89,32.41,3.68,33.3,40,"跌4.9%, 放量, 换手3.7%"
000063,中兴通讯,38.42,-1.84,110.04,7.0,32.8,40,"跌1.8%, 放量, 换手7.0%"
000568,泸州老窖,85.41,1.14,11.0,0.87,11.6,40,"涨1.1%, 放量"
000977,浪潮信息,59.39,-0.12,39.61,4.48,36.2,40,"跌0.1%, 放量, 换手4.5%"
002049,紫光国微,73.0,-0.92,17.63,2.83,42.8,40,"跌0.9%, 放量, 换手2.8%"
000858,五 粮 液,79.14,0.04,18.3,0.59,34.3,40,"涨0.0%, 放量"
600887,伊利股份,25.58,1.83,12.29,0.77,14.0,40,"涨1.8%, 放量"
603019,中科曙光,82.7,2.86,54.32,4.42,55.5,40,"涨2.9%, 放量, 换手4.4%"
601633,长城汽车,17.13,3.38,6.74,0.64,14.8,40,"涨3.4%, 放量"
601288,农业银行,6.71,1.67,28.21,0.13,8.6,40,"涨1.7%, 放量"
601211,国泰海通,17.05,3.27,34.71,1.52,9.8,40,"涨3.3%, 放量"
601166,兴业银行,18.89,2.38,25.73,0.65,5.5,40,"涨2.4%, 放量"
601601,中国太保,32.51,3.04,20.9,0.95,5.8,40,"涨3.0%, 放量"
601398,工商银行,7.69,1.99,31.49,0.15,7.7,40,"涨2.0%, 放量"
601336,新华保险,58.03,3.87,19.5,1.63,5.0,40,"涨3.9%, 放量"
300760,迈瑞医疗,143.5,0.82,9.39,0.54,21.4,40,"涨0.8%, 放量"
601318,XD中国平,53.22,1.99,47.79,0.85,6.9,40,"涨2.0%, 放量"
600519,贵州茅台,1275.88,1.58,49.92,0.31,19.4,40,"涨1.6%, 放量"
002624,完美世界,13.94,-2.79,9.81,3.85,35.7,40,"跌2.8%, 放量, 换手3.8%"
600036,招商银行,38.9,1.06,36.33,0.45,6.8,40,"涨1.1%, 放量"
600030,XD中信证,25.66,2.19,44.38,1.43,13.1,40,"涨2.2%, 放量"
000596,古井贡酒,87.21,1.4,2.65,0.74,13.0,35,"涨1.4%, 成交活跃"
000166,申万宏源,4.38,1.86,4.59,0.47,11.5,35,"涨1.9%, 成交活跃"
300274,阳光电源,143.55,-5.87,93.78,4.09,21.9,35,"放量, 换手4.1%"
300124,汇川技术,70.1,-6.03,38.05,2.22,37.5,35,"放量, 换手2.2%"
