代码,名称,价格,涨幅,换手率,量比,成交额(亿),振幅,PE,市值(亿),技术信号,热门板块,距MA5,距MA10
301360,荣旗科技,73.08,14.1,12.13,0.0,2.79,0.0,91.35,50.68,"均线多头, 站上均线",其他,1.0,2.14
301071,力量钻石,82.9,13.95,19.02,0.0,29.48,0.0,192.79,215.77,"均线多头, 站上均线, 突破10日高点",其他,7.01,10.56
300184,力源信息,17.14,13.81,19.02,0.0,32.47,0.0,115.03,197.29,均线多头,其他,-0.78,-0.35
300681,英搏尔,34.79,11.79,11.55,0.0,8.97,0.0,49.0,106.48,均线多头,其他,-0.18,-0.05
300174,元力股份,26.38,11.78,18.31,0.0,17.37,0.0,41.75,96.08,"均线多头, 站上均线, 突破10日高点, 放量",其他,16.94,21.93
300835,龙磁科技,191.1,11.56,9.29,0.0,14.34,0.0,132.71,227.88,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,17.53,17.6
300747,锐科激光,40.32,11.35,11.14,0.0,22.24,0.0,139.9,226.44,"均线多头, 站上均线",其他,0.36,1.21
300666,江丰电子,203.05,10.71,11.33,0.0,49.56,0.0,107.43,538.73,均线多头,其他,-3.29,1.37
300679,电连技术,58.2,10.12,9.94,0.0,20.2,0.0,90.94,247.25,均线多头,其他,-0.78,-0.14
002613,北玻股份,4.92,10.07,6.67,0.0,2.49,0.0,172.63,54.15,站上均线,其他,2.06,0.99
600032,浙江新能,10.4,10.05,3.34,0.0,8.04,0.0,49.43,250.09,站上均线,其他,0.81,0.47
600360,华微电子,12.28,10.04,12.52,0.0,14.13,0.0,68.22,117.92,"均线多头, 站上均线, 突破10日高点, 放量",其他,4.67,5.76
002871,伟隆股份,20.85,10.03,4.93,0.0,1.48,0.0,35.34,52.51,均线多头,其他,-0.61,0.45
603527,众源新材,14.49,10.02,9.4,0.0,4.17,0.0,72.45,45.93,"站上均线, 放量",其他,2.28,1.4
002669,康达新材,17.57,10.02,16.62,0.0,8.66,0.0,41.24,53.31,"站上均线, 突破10日高点, 连续上涨",其他,4.67,4.02
603031,安孚科技,58.04,10.01,8.12,0.0,14.09,0.0,58.04,216.98,"均线多头, 站上均线",其他,1.36,6.19
002859,洁美科技,69.82,10.01,5.18,0.0,14.07,0.0,136.9,301.08,"均线多头, 站上均线, 突破10日高点",其他,7.22,11.17
003018,金富科技,64.58,10.0,2.99,0.0,4.39,0.0,165.59,167.91,均线多头,其他,-0.52,12.2
600367,红星发展,33.22,10.0,19.57,0.0,20.1,0.0,123.04,113.32,均线多头,其他,-0.82,1.25
002975,博杰股份,134.28,10.0,11.34,0.0,19.74,0.0,139.88,279.48,"站上均线, 突破10日高点",其他,2.97,5.86
002243,力合科创,9.35,10.0,2.72,0.0,2.99,0.0,64.0,113.19,均线多头,其他,-0.74,-0.17
601958,金钼股份,26.85,10.0,4.01,0.0,32.96,0.0,27.4,866.34,"站上均线, 连续上涨",其他,2.31,0.43
603678,火炬电子,47.31,10.0,10.78,0.0,23.9,0.0,69.57,224.99,"均线多头, 站上均线, 突破10日高点, 放量",其他,7.8,10.13
603757,大元泵业,58.3,10.0,4.04,0.0,4.3,0.0,68.59,108.76,"均线多头, 站上均线",其他,2.96,5.23
603267,鸿远电子,70.06,10.0,9.88,0.0,15.49,0.0,64.87,161.9,"均线多头, 站上均线, 突破10日高点, 放量",其他,7.72,10.68
002484,江海股份,74.07,9.99,2.71,0.0,16.25,0.0,92.6,629.98,"均线多头, 站上均线, 突破10日高点",其他,5.53,16.57
002636,金安国纪,53.5,9.99,9.3,0.0,34.41,0.0,129.54,389.48,"站上均线, 放量",其他,4.42,2.51
002056,横店东磁,26.97,9.99,7.51,0.0,32.22,0.0,23.25,438.72,"均线多头, 站上均线, 突破10日高点",其他,2.75,3.06
002552,宝鼎科技,55.58,9.99,9.28,0.0,18.1,0.0,179.29,215.64,"均线多头, 站上均线, 突破10日高点",其他,6.11,13.03
600176,中国巨石,43.48,9.99,4.4,0.0,72.9,0.0,52.94,1740.56,连续上涨,其他,2.35,-2.17
603989,艾华集团,38.42,9.99,10.87,0.0,15.88,0.0,57.81,153.21,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,12.63,23.58
605580,恒盛能源,28.18,9.99,10.48,0.0,7.94,0.0,50.32,78.9,站上均线,其他,3.91,1.91
