代码,名称,价格,涨幅,换手率,量比,成交额(亿),振幅,PE,市值(亿),技术信号,热门板块,距MA5,距MA10
002179,中航光电,39.22,6.23,3.15,0.0,25.48,0.0,38.31,830.46,"站上均线, 连续上涨, 放量",其他,6.56,2.33
600549,厦门钨业,63.73,6.2,8.16,0.0,77.52,0.0,43.81,1011.77,"站上均线, 突破10日高点, 连续上涨",其他,11.12,16.78
300969,恒帅股份,107.8,6.16,5.76,0.0,4.83,0.0,72.35,176.92,连续上涨,其他,3.61,-9.37
603161,科华控股,14.82,6.01,6.18,0.0,1.72,0.0,29.06,28.81,"站上均线, 突破10日高点",其他,6.04,7.8
002823,凯中精密,20.85,6.0,16.51,0.0,7.26,0.0,28.96,68.46,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,8.89,14.05
002522,浙江众成,7.1,5.97,10.69,0.0,6.67,0.0,118.33,64.31,"站上均线, 突破10日高点, 连续上涨, 放量",其他,8.33,7.72
300285,国瓷材料,64.0,5.84,16.64,0.0,87.47,0.0,103.23,638.11,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,12.16,21.49
603078,江化微,37.78,5.8,12.47,0.0,18.07,0.0,139.0,145.69,"均线多头, 站上均线, 突破10日高点",其他,5.94,9.06
002138,顺络电子,50.55,5.75,7.6,0.0,28.59,0.0,38.88,407.59,"均线多头, 站上均线, 突破10日高点",其他,3.56,7.55
605018,长华集团,16.71,5.69,6.75,0.0,5.22,0.0,83.55,78.55,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,12.43,16.14
301282,金禄电子,31.22,5.62,13.27,0.0,7.07,0.0,52.03,65.85,"站上均线, 突破10日高点",其他,7.08,9.3
300279,和晶科技,7.56,5.59,8.45,0.0,3.1,0.0,57.14,36.98,"连续上涨, 放量",其他,5.15,3.38
603861,白云电器,17.35,5.54,8.93,0.0,8.27,0.0,43.38,93.78,站上均线,其他,1.23,5.38
300682,朗新科技,13.4,5.51,3.38,0.0,4.71,0.0,134.0,144.48,"连续上涨, 放量",其他,4.74,0.51
601208,东材科技,59.6,5.5,10.95,0.0,63.95,0.0,195.99,602.07,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,12.36,13.45
603268,松发股份,138.89,5.46,4.0,0.0,12.88,0.0,46.92,1348.31,连续上涨,其他,3.52,1.19
603115,海星股份,107.55,5.44,5.28,0.0,13.31,0.0,125.06,260.15,站上均线,其他,2.17,0.08
300863,卡倍亿,72.75,5.43,6.56,0.0,11.6,0.0,111.92,190.17,"站上均线, 连续上涨",其他,8.81,9.77
002897,意华股份,96.15,5.43,17.1,0.0,28.65,0.0,58.63,186.42,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,11.12,18.39
603985,恒润股份,24.03,5.3,6.44,0.0,6.82,0.0,126.21,105.94,"连续上涨, 放量",其他,3.47,0.43
002334,英威腾,9.47,5.22,13.93,0.0,9.51,0.0,36.58,77.91,"站上均线, 突破10日高点, 连续上涨, 放量",其他,7.13,6.06
603267,鸿远电子,81.11,5.2,12.65,0.0,23.29,0.0,75.1,187.43,"均线多头, 站上均线, 突破10日高点",其他,7.22,15.73
300820,英杰电气,67.61,5.18,9.17,0.0,6.98,0.0,66.94,150.27,"站上均线, 放量",其他,3.51,2.52
600171,上海贝岭,28.65,5.1,5.21,0.0,10.66,0.0,86.82,203.11,连续上涨,其他,3.11,-0.78
301225,恒勃股份,94.98,5.09,9.5,0.0,2.66,0.0,70.88,98.19,连续上涨,其他,3.19,-8.36
600707,彩虹股份,10.95,5.09,6.41,0.0,24.86,0.0,105.29,392.93,"站上均线, 连续上涨",其他,7.12,1.78
600188,兖矿能源,27.27,5.01,1.94,0.0,30.18,0.0,32.51,2737.05,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,10.96,19.66
300847,中船汉光,15.12,5.0,2.67,0.0,1.19,0.0,39.12,44.76,放量,其他,3.52,2.47
600191,华资实业,10.75,4.98,1.97,0.0,1.03,0.0,88.33,52.13,放量,其他,1.38,-0.15
601231,环旭电子,45.76,4.91,4.48,0.0,49.29,0.0,53.84,1093.25,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,6.82,9.01
002815,崇达技术,17.81,4.83,17.85,0.0,24.18,0.0,61.41,219.8,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,5.55,7.07
600063,皖维高新,7.47,4.77,8.7,0.0,13.04,0.0,35.57,154.56,"均线多头, 站上均线, 突破10日高点",其他,3.41,9.87
002549,凯美特气,16.5,4.76,5.49,0.0,6.22,0.0,167.34,114.73,"连续上涨, 放量",其他,5.43,0.85
600985,淮北矿业,16.58,4.74,2.37,0.0,10.61,0.0,29.61,446.54,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,5.4,12.56
600378,昊华科技,43.56,4.59,6.05,0.0,28.39,0.0,38.9,561.92,"均线多头, 站上均线, 突破10日高点",其他,4.61,9.21
002615,哈尔斯,8.12,4.5,6.5,0.0,1.57,0.0,54.13,45.46,"连续上涨, 放量",其他,3.78,2.89
600821,金开新能,8.62,4.49,13.89,0.0,23.11,0.0,172.4,169.58,"站上均线, 突破10日高点, 连续上涨, 放量",其他,4.82,5.5
301200,大族数控,298.8,4.48,1.59,0.0,19.68,0.0,153.23,1461.16,"均线多头, 站上均线, 连续上涨",其他,5.31,5.75
300475,香农芯创,184.96,4.48,8.24,0.0,68.21,0.0,156.75,868.46,连续上涨,其他,4.58,1.33
002636,金安国纪,54.0,4.39,7.55,0.0,28.38,0.0,130.75,393.12,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,3.95,8.38
301208,中亦科技,31.98,4.34,5.87,0.0,1.25,0.0,71.07,38.38,"连续上涨, 放量",其他,5.66,3.87
300304,云意电气,15.4,4.34,6.63,0.0,8.61,0.0,28.52,135.23,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,7.93,9.91
002972,科安达,12.77,4.33,7.51,0.0,1.28,0.0,35.93,31.42,"站上均线, 突破10日高点, 连续上涨, 放量",其他,4.74,4.58
300604,长川科技,223.35,4.3,5.58,0.0,60.91,0.0,105.35,1416.97,"站上均线, 连续上涨",其他,5.39,1.3
603119,浙江荣泰,73.3,4.28,12.3,0.0,23.65,0.0,95.19,346.61,连续上涨,其他,6.99,0.58
603308,应流股份,66.6,4.27,3.93,0.0,17.7,0.0,130.59,452.25,连续上涨,其他,3.72,-1.06
300054,鼎龙股份,73.39,4.25,5.27,0.0,28.19,0.0,95.31,695.79,"站上均线, 连续上涨",其他,6.61,2.26
603339,四方科技,13.61,4.21,2.64,0.0,1.1,0.0,27.22,42.11,"站上均线, 突破10日高点, 连续上涨, 放量",其他,4.42,4.37
300223,北京君正,150.41,4.19,9.25,0.0,58.15,0.0,192.76,725.79,"站上均线, 连续上涨",其他,1.82,1.7
002025,航天电器,67.91,4.09,7.55,0.0,23.42,0.0,169.78,309.24,"站上均线, 连续上涨, 放量",军工,5.95,2.55
300088,长信科技,8.42,4.08,16.87,0.0,34.51,0.0,105.25,210.31,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,10.79,11.7
002696,百洋股份,5.95,4.02,11.86,0.0,2.41,0.0,50.73,20.57,放量,其他,0.71,-1.46
003026,中晶科技,46.47,4.01,9.75,0.0,4.48,0.0,140.82,60.23,连续上涨,其他,5.14,3.78
300709,精研科技,48.48,3.97,11.46,0.0,8.16,0.0,173.14,90.21,站上均线,其他,4.81,3.22
003033,征和工业,67.3,3.97,4.44,0.0,2.35,0.0,31.45,55.02,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,5.41,10.23
300930,屹通新材,36.98,3.96,15.97,0.0,2.67,0.0,66.04,36.98,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,6.41,8.57
301209,联合化学,91.7,3.89,2.35,0.0,2.08,0.0,195.11,102.7,"站上均线, 突破10日高点",其他,2.61,3.27
002483,润邦股份,5.88,3.89,2.62,0.0,1.35,0.0,14.34,52.12,放量,其他,0.38,0.12
