代码,名称,最新价,涨跌幅,市盈率,换手率,红三兵位置,距红三兵天数,三日涨幅,理想形态,涨幅适中,成交量配合,第一日涨幅,第二日涨幅,第三日涨幅
301151,冠龙节能,19.33,-0.155,53.889,3.19901,5,2,29.91,True,False,False,20.03,12.33,0.2
003025,思进智能,16.27,2.134,30.13,7.32258,5,2,13.72,True,False,False,6.75,7.41,1.28
603939,益丰药房,20.82,-1.467,15.087,0.55626,5,2,4.6,True,False,False,0.61,3.43,1.07
603813,*ST原尚,37.87,-0.838,-56.522,0.32957,5,2,13.26,True,False,False,4.35,6.42,4.42
300733,西菱动力,14.22,6.199,43.513,4.42025,5,2,13.35,True,False,False,3.77,8.01,3.67
301261,恒工精密,84.3,-3.248,83.465,6.89117,4,3,9.07,True,False,False,0.3,7.55,4.82
002279,久其软件,6.78,-6.354,129.143,5.09766,6,1,7.9,False,True,True,1.94,2.58,2.7
605218,伟时电子,16.9,-0.471,160.799,4.22133,6,1,6.13,False,True,True,1.12,1.53,3.66
603213,镇洋发展,14.93,0.403,87.824,1.82454,6,1,6.29,False,True,True,1.22,2.75,2.2
300616,尚品宅配,13.36,-10.396,-9.752,12.1267,6,1,7.27,False,True,True,1.65,2.03,3.11
002530,金财互联,7.63,-6.034,95.375,3.53914,6,1,6.42,False,True,True,2.1,2.3,2.27
301020,密封科技,23.46,-4.557,39.1,4.1079,6,1,6.04,False,True,True,1.64,1.48,2.85
301448,开创电气,37.3,3.41,-1865.0,4.01513,6,1,9.3,False,True,True,2.39,2.85,3.68
600366,宁波韵升,13.0,-5.109,42.29,5.83543,5,2,4.34,False,True,True,2.25,2.81,1.17
301332,德尔玛,8.54,-2.4,30.5,0.92793,5,2,5.95,False,True,True,1.33,2.56,3.8
002641,公元股份,4.2,-3.448,84.0,2.07037,5,2,6.3,False,True,True,2.18,2.66,2.33
601882,海天精工,19.97,-1.577,24.354,1.01546,5,2,7.39,False,True,True,3.8,1.72,1.77
603809,豪能股份,10.42,-1.139,32.4,2.09429,5,2,7.4,False,True,True,2.2,3.01,4.27
605128,上海沿浦,24.25,-1.822,26.648,1.64376,5,2,9.41,False,True,True,1.4,4.84,3.49
600215,派斯林,6.25,-1.575,-8.319,4.2334,4,3,6.7,False,True,True,1.28,4.4,3.88
300053,航宇微,16.74,4.822,-34.191,4.82508,4,3,8.65,False,True,True,1.09,3.06,4.89
603331,百达精工,11.9,-2.138,-10.625,2.49155,4,3,5.21,False,True,True,1.22,2.99,4.96
300871,回盛生物,21.6,-1.46,16.181,3.73438,6,1,8.62,False,True,False,4.11,1.58,1.72
