代码,名称,价格,涨跌幅,成交额亿,换手率,市盈率,得分,信号
000568,泸州老窖,83.28,-1.65,11.12,0.91,11.3,60,"新闻热点, 跌1.7%, 放量"
000063,中兴通讯,38.0,2.1,80.31,5.29,32.5,50,"涨2.1%, 放量, 换手5.3%"
600862,中航高科,19.24,0.63,5.31,2.0,26.0,50,"涨0.6%, 放量, 换手2.0%"
603283,赛腾股份,57.33,3.77,19.44,9.72,32.8,50,"涨3.8%, 放量, 换手9.7%"
300274,阳光电源,152.49,2.27,107.59,4.42,23.3,50,"涨2.3%, 放量, 换手4.4%"
300059,东方财富,19.12,1.22,87.49,3.43,25.0,50,"涨1.2%, 放量, 换手3.4%"
002624,完美世界,13.32,0.83,10.27,4.19,34.2,50,"涨0.8%, 放量, 换手4.2%"
300033,同花顺,218.62,2.77,43.24,4.54,36.7,50,"涨2.8%, 放量, 换手4.5%"
002074,国轩高科,30.29,3.2,15.06,2.87,22.9,50,"涨3.2%, 放量, 换手2.9%"
002049,紫光国微,76.71,2.61,24.7,3.79,44.9,50,"涨2.6%, 放量, 换手3.8%"
600030,中信证券,27.25,1.45,59.69,1.81,13.9,40,"涨1.5%, 放量"
300496,中科创达,61.97,0.99,8.3,3.64,63.3,40,"涨1.0%, 放量, 换手3.6%"
300750,宁德时代,403.53,1.36,141.08,0.82,25.0,40,"涨1.4%, 放量"
605117,德业股份,102.42,1.45,23.18,1.76,29.2,40,"涨1.4%, 放量"
601127,赛力斯,68.78,0.85,15.56,1.45,18.7,40,"涨0.8%, 放量"
601211,国泰海通,17.79,1.72,28.25,1.18,10.2,40,"涨1.7%, 放量"
300124,汇川技术,70.24,1.36,23.59,1.38,37.6,40,"涨1.4%, 放量"
000977,浪潮信息,62.3,-1.25,32.45,3.55,38.0,40,"跌1.3%, 放量, 换手3.6%"
300014,亿纬锂能,66.88,13.8,109.95,7.88,33.1,40,"涨幅较大13.8%, 放量, 换手7.9%"
002747,埃斯顿,33.9,2.02,36.51,13.84,678.0,40,"涨2.0%, 放量, 换手13.8%"
002460,赣锋锂业,71.45,0.18,45.09,5.25,89.3,40,"涨0.2%, 放量, 换手5.2%"
300502,新易盛,549.0,1.57,222.45,3.23,57.1,40,"涨1.6%, 放量, 换手3.2%"
300347,泰格医药,39.36,-0.1,7.52,3.39,37.8,40,"跌0.1%, 放量, 换手3.4%"
300308,中际旭创,1248.09,0.25,290.92,2.1,127.4,40,"涨0.2%, 放量, 换手2.1%"
002241,歌尔股份,23.35,-0.89,16.51,2.24,20.5,40,"跌0.9%, 放量, 换手2.2%"
002475,立讯精密,67.26,-1.31,107.57,2.19,29.4,40,"跌1.3%, 放量, 换手2.2%"
603444,吉比特,329.46,-3.49,5.8,2.42,13.2,40,"跌3.5%, 放量, 换手2.4%"
601688,华泰证券,20.45,0.44,26.89,1.8,11.8,40,"涨0.4%, 放量"
002281,光迅科技,230.01,2.01,130.31,7.22,190.1,40,"涨2.0%, 放量, 换手7.2%"
600745,*ST闻泰,18.69,2.52,10.04,4.32,亏损,35,"涨2.5%, 放量, 换手4.3%, 亏损"
000166,申万宏源,4.6,0.22,4.65,0.45,12.1,35,"涨0.2%, 成交活跃"
300364,中文在线,23.81,0.8,8.29,5.28,亏损,35,"涨0.8%, 放量, 换手5.3%, 亏损"
000858,五 粮 液,78.33,-1.63,17.09,0.56,34.0,30,"跌1.6%, 放量"
000001,平安银行,10.94,-1.08,10.35,0.49,5.3,30,"跌1.1%, 放量"
