代码,名称,价格,涨跌幅,成交额亿,换手率,市盈率,得分,信号
603259,药明康德,98.16,-1.22,26.8,1.1,14.7,30,"跌1.2%, 放量"
601318,中国平安,52.99,-2.29,43.26,0.76,6.9,30,"跌2.3%, 放量"
601225,陕西煤业,24.4,-3.4,16.0,0.67,14.1,30,"跌3.4%, 放量"
000983,山西焦煤,6.91,-1.99,5.35,1.36,32.7,30,"跌2.0%, 放量"
002594,比亚迪,89.64,-1.3,30.17,0.96,25.0,30,"跌1.3%, 放量"
300474,景嘉微,53.9,1.6,4.92,2.27,亏损,30,"涨1.6%, 成交活跃, 换手2.3%, 亏损"
300624,万兴科技,54.08,0.11,2.74,2.98,亏损,30,"涨0.1%, 成交活跃, 换手3.0%, 亏损"
300620,光库科技,392.49,14.41,101.28,10.89,553.6,30,"涨幅较大14.4%, 放量, 换手10.9%"
603501,豪威集团,88.2,-0.59,15.17,1.41,26.2,30,"跌0.6%, 放量"
601888,中国中免,58.4,-1.15,19.74,1.73,33.7,30,"跌1.2%, 放量"
601668,中国建筑,4.71,-0.84,6.9,0.35,5.0,30,"跌0.8%, 放量"
601288,农业银行,6.61,-1.05,18.11,0.09,8.5,30,"跌1.0%, 放量"
601601,中国太保,32.5,-2.26,14.41,0.64,5.8,30,"跌2.3%, 放量"
601336,新华保险,61.98,-1.93,15.73,1.21,5.3,30,"跌1.9%, 放量"
600036,招商银行,38.57,-0.98,30.48,0.38,6.8,30,"跌1.0%, 放量"
300760,迈瑞医疗,142.9,-2.46,9.92,0.57,21.3,30,"跌2.5%, 放量"
601088,中国神华,42.52,-2.0,27.94,0.4,16.0,30,"跌2.0%, 放量"
600893,航发动力,39.49,3.48,16.97,1.63,164.5,30,"涨3.5%, 放量"
601166,兴业银行,18.07,-0.88,13.33,0.35,5.2,30,"跌0.9%, 放量"
601138,工业富联,72.9,-0.68,127.71,0.88,41.0,30,"跌0.7%, 放量"
600547,山东黄金,28.25,-1.43,15.17,1.48,30.1,30,"跌1.4%, 放量"
600887,伊利股份,24.8,-2.4,18.21,1.16,13.6,30,"跌2.4%, 放量"
600519,贵州茅台,1255.67,-1.21,44.0,0.28,19.1,30,"跌1.2%, 放量"
600104,上汽集团,10.65,-1.3,7.32,0.6,12.0,30,"跌1.3%, 放量"
603019,中科曙光,84.47,-1.15,30.73,2.48,56.7,30,"跌1.1%, 放量, 换手2.5%"
601390,中国中铁,4.57,-1.93,5.29,0.56,5.4,30,"跌1.9%, 放量"
601398,工商银行,7.42,-1.98,27.67,0.14,7.4,30,"跌2.0%, 放量"
601899,紫金矿业,30.29,-3.26,89.68,1.42,15.5,30,"跌3.3%, 放量"
000895,双汇发展,23.54,-2.53,3.68,0.45,16.0,25,"跌2.5%, 成交活跃"
000625,长安汽车,7.53,-1.82,4.81,0.77,18.4,25,"跌1.8%, 成交活跃"
000596,古井贡酒,85.0,-2.41,3.12,0.9,12.7,25,"跌2.4%, 成交活跃"
002304,洋河股份,42.8,-0.67,2.76,0.43,29.2,25,"跌0.7%, 成交活跃"
002821,凯莱英,112.07,-2.17,4.85,1.36,35.5,25,"跌2.2%, 成交活跃"
601186,中国铁建,6.33,-1.4,2.49,0.34,5.4,25,"跌1.4%, 成交活跃"
601633,长城汽车,17.31,-2.42,3.78,0.35,14.9,25,"跌2.4%, 成交活跃"
300769,德方纳米,68.72,5.33,28.94,17.04,亏损,25,"涨5.3%, 放量, 亏损"
603369,今世缘,24.66,-3.75,4.02,1.3,11.8,25,"跌3.7%, 成交活跃"
600048,保利发展,5.05,-2.7,6.69,1.1,56.1,20,"跌2.7%, 放量"
002230,科大讯飞,41.28,-0.48,14.98,1.66,114.7,20,"跌0.5%, 放量"
300122,智飞生物,12.48,0.97,2.88,1.63,亏损,20,"涨1.0%, 成交活跃, 亏损"
