代码,名称,价格,涨幅,换手率,量比,成交额(亿),振幅,PE,市值(亿),技术信号,热门板块,距MA5,距MA10
301319,唯特偶,100.18,13.29,9.08,0.0,11.97,0.0,157.39,180.88,均线多头,其他,-17.73,-15.18
300373,扬杰科技,110.02,12.38,9.53,0.0,56.6,0.0,47.22,597.79,"均线多头, 站上均线, 突破10日高点, 放量",其他,5.67,6.01
300763,锦浪科技,119.9,11.47,11.04,0.0,41.09,0.0,63.78,477.28,"均线多头, 站上均线, 突破10日高点",其他,3.95,8.55
603335,迪生力,7.32,10.07,5.59,0.0,1.66,0.0,66.55,31.34,站上均线,其他,1.59,1.26
002012,凯恩股份,9.65,10.03,16.3,0.0,7.01,0.0,137.86,45.13,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,5.02,7.59
600779,水井坊,33.94,10.02,3.04,0.0,4.89,0.0,40.52,165.46,放量,其他,1.16,-1.17
603989,艾华集团,34.93,10.02,10.01,0.0,13.54,0.0,52.56,139.29,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,12.63,23.58
002706,良信股份,14.82,10.02,9.24,0.0,12.31,0.0,59.28,166.45,均线多头,其他,-1.02,1.89
002484,江海股份,67.6,10.01,1.71,0.0,9.47,0.0,84.51,574.95,"均线多头, 站上均线, 突破10日高点",其他,5.53,16.57
605167,利柏特,17.47,10.01,2.36,0.0,1.83,0.0,35.65,78.46,放量,其他,-9.23,-12.23
002881,美格智能,49.79,10.01,18.35,0.0,16.27,0.0,91.53,150.37,"均线多头, 站上均线, 突破10日高点, 连续上涨",AI人工智能,3.96,9.41
002971,和远气体,35.09,10.0,8.11,0.0,4.28,0.0,121.0,74.3,均线多头,其他,-8.56,-7.19
600863,华能蒙电,6.71,10.0,6.13,0.0,25.43,0.0,19.73,525.74,"均线多头, 站上均线, 突破10日高点, 放量",其他,6.69,10.54
600353,旭光电子,24.76,10.0,9.44,0.0,18.79,0.0,127.04,205.21,均线多头,其他,-2.33,4.19
601126,XD四方股,82.81,10.0,5.29,0.0,35.56,0.0,82.81,689.89,均线多头,其他,-1.09,4.06
603115,海星股份,113.08,10.0,5.41,0.0,14.52,0.0,131.49,273.53,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,17.61,39.24
300776,帝尔激光,171.0,9.97,14.63,0.0,43.16,0.0,89.53,468.55,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,6.52,12.65
600702,XD舍得酒,44.13,9.59,6.85,0.0,9.8,0.0,64.87,146.85,均线多头,其他,-2.95,-2.16
300174,元力股份,23.6,8.96,15.72,0.0,13.23,0.0,37.35,85.95,"均线多头, 站上均线, 突破10日高点, 放量",其他,16.94,21.93
605186,健麾信息,27.23,8.27,14.39,0.0,5.25,0.0,118.39,37.03,均线多头,其他,-3.09,-0.74
603163,圣晖集成,112.38,7.85,4.62,0.0,5.1,0.0,72.5,112.38,均线多头,其他,-4.31,0.68
301092,争光股份,50.68,7.69,12.57,0.0,3.86,0.0,67.57,68.18,"均线多头, 站上均线",其他,2.91,8.93
300816,艾可蓝,94.78,7.68,11.67,0.0,6.65,0.0,78.52,75.82,均线多头,其他,-4.08,-3.47
601991,大唐发电,7.71,7.68,7.74,0.0,71.66,0.0,24.44,1426.87,均线多头,其他,-8.84,-5.71
002138,顺络电子,48.6,7.64,8.82,0.0,32.22,0.0,37.38,391.87,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,8.53,12.59
002150,正泰电源,35.47,7.49,14.55,0.0,18.34,0.0,45.47,128.0,"均线多头, 站上均线",其他,3.16,9.43
300088,长信科技,7.89,7.49,16.38,0.0,31.78,0.0,98.62,197.07,连续上涨,其他,0.81,-0.28
300037,新宙邦,74.72,7.39,9.69,0.0,38.38,0.0,51.18,563.3,"站上均线, 突破10日高点, 放量",其他,8.92,11.0
002273,水晶光电,42.05,7.0,9.2,0.0,52.0,0.0,48.9,584.76,"均线多头, 站上均线, 突破10日高点",其他,4.75,4.92
300259,新天科技,6.99,6.88,10.23,0.0,8.44,0.0,31.7,81.77,"均线多头, 站上均线, 突破10日高点",其他,9.15,27.85
605111,新洁能,68.7,6.76,14.89,0.0,42.99,0.0,72.32,285.33,"均线多头, 站上均线, 突破10日高点",其他,8.04,12.71
300221,银禧科技,14.14,6.72,18.82,0.0,12.19,0.0,58.55,66.99,"均线多头, 站上均线, 突破10日高点, 放量",其他,7.99,9.83
300739,明阳电路,35.99,6.35,13.96,0.0,14.48,0.0,149.96,134.41,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,8.58,10.26
301200,大族数控,303.0,6.18,2.21,0.0,27.03,0.0,155.38,1481.69,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,15.87,20.77
603693,江苏新能,18.94,5.99,5.22,0.0,8.37,0.0,33.23,168.85,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,4.92,7.98
603678,火炬电子,43.01,5.83,10.54,0.0,21.39,0.0,63.25,204.54,"均线多头, 站上均线, 突破10日高点, 放量",其他,7.8,10.13
600578,京能电力,9.7,5.78,7.01,0.0,44.41,0.0,19.4,649.38,"均线多头, 站上均线",其他,5.93,23.3
002782,可立克,30.14,5.61,9.49,0.0,13.81,0.0,48.95,149.48,"均线多头, 站上均线",其他,3.04,10.55
002534,西子洁能,21.53,5.54,3.87,0.0,6.85,0.0,37.77,179.98,站上均线,其他,1.7,3.4
600360,华微电子,11.16,5.48,12.2,0.0,13.33,0.0,62.0,107.17,"均线多头, 站上均线, 突破10日高点, 放量",其他,4.67,5.76
300394,天孚通信,428.61,5.37,6.67,0.0,221.53,0.0,165.12,3339.56,站上均线,其他,2.52,1.74
300408,三环集团,122.99,5.18,4.23,0.0,97.54,0.0,89.77,2357.1,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,16.43,22.98
002655,共达电声,38.88,5.17,15.06,0.0,20.93,0.0,188.74,141.72,连续上涨,其他,2.67,-0.62
601958,金钼股份,24.41,5.08,3.9,0.0,30.55,0.0,24.91,787.61,"站上均线, 连续上涨",其他,2.31,0.43
301028,鼎熔岩,20.53,5.07,10.55,0.0,5.19,0.0,33.66,78.85,"均线多头, 站上均线",其他,2.48,9.3
300046,台基股份,34.83,5.04,9.38,0.0,7.84,0.0,167.78,82.38,均线多头,其他,-1.88,-1.57
600460,士兰微,35.58,4.96,11.34,0.0,68.11,0.0,148.25,592.08,均线多头,其他,-2.01,-0.5
300835,龙磁科技,171.29,4.9,8.85,0.0,12.41,0.0,118.95,204.26,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,17.53,17.6
002552,宝鼎科技,50.53,4.88,13.3,0.0,24.61,0.0,163.0,196.05,"均线多头, 站上均线, 突破10日高点",其他,6.11,13.03
600563,法拉电子,170.37,4.84,6.2,0.0,24.03,0.0,32.15,383.33,"均线多头, 站上均线, 放量",其他,7.51,14.94
002733,雄韬股份,33.8,4.81,14.94,0.0,18.39,0.0,160.95,129.86,放量,其他,6.3,2.87
603919,金徽酒,21.83,4.8,6.34,0.0,6.98,0.0,31.19,110.73,均线多头,其他,-0.18,0.62
300433,蓝思科技,40.28,4.68,4.35,0.0,84.63,0.0,50.99,2126.28,"均线多头, 站上均线, 连续上涨",其他,2.19,10.22
603203,快克智能,72.08,4.65,8.38,0.0,14.48,0.0,131.06,182.99,"均线多头, 站上均线",AI人工智能,0.68,0.93
300863,卡倍亿,78.3,4.61,8.22,0.0,11.5,0.0,120.46,147.34,"均线多头, 站上均线, 突破10日高点",其他,4.62,11.03
301419,阿莱德,49.5,4.58,13.8,0.0,5.35,0.0,93.4,59.4,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,7.43,7.49
002056,横店东磁,24.52,4.56,6.03,0.0,23.97,0.0,21.14,398.87,"均线多头, 站上均线, 突破10日高点",其他,2.75,3.06
603637,镇海股份,19.98,4.44,12.56,0.0,6.11,0.0,71.36,47.69,"均线多头, 站上均线, 突破10日高点",其他,2.13,2.57
600885,宏发股份,35.61,4.28,1.78,0.0,9.77,0.0,29.68,551.1,"均线多头, 站上均线",其他,2.8,4.0
301529,福赛科技,125.82,4.23,6.84,0.0,5.46,0.0,79.13,149.0,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,4.25,7.97
002870,香山股份,42.95,4.2,5.86,0.0,3.27,0.0,59.65,56.73,"站上均线, 连续上涨",其他,3.13,1.71
600888,新疆众和,11.73,4.08,9.35,0.0,16.83,0.0,24.63,182.18,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,10.76,15.22
605376,博迁新材,165.86,3.99,8.03,0.0,35.01,0.0,197.45,433.89,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,13.07,15.76
001301,尚太科技,93.53,3.6,4.89,0.0,8.44,0.0,25.77,243.93,"均线多头, 站上均线",其他,4.99,8.41
300939,秋田微,73.55,3.59,13.21,0.0,11.06,0.0,109.78,88.26,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,11.59,16.96
002606,大连电瓷,16.8,3.58,13.43,0.0,9.34,0.0,34.29,73.76,站上均线,其他,4.94,2.66
002241,歌尔股份,28.27,3.55,12.62,0.0,111.92,0.0,24.8,1003.69,站上均线,其他,0.54,0.27
301618,长联科技,55.4,3.51,7.7,0.0,1.46,0.0,122.97,49.98,"均线多头, 站上均线, 突破10日高点",其他,3.63,4.4
600857,宁波中百,15.03,3.37,8.86,0.0,2.94,0.0,100.2,33.72,"均线多头, 站上均线",其他,0.48,2.3
603311,金海高科,30.21,3.35,7.33,0.0,5.17,0.0,91.55,71.26,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,8.76,26.57
300438,鹏辉能源,81.09,3.27,7.67,0.0,25.14,0.0,197.78,408.16,均线多头,其他,-2.37,-1.81
603213,镇洋发展,14.73,3.22,2.77,0.0,1.78,0.0,86.65,65.1,"站上均线, 连续上涨, 放量",其他,1.44,1.08
300005,探路者,15.19,3.19,4.63,0.0,6.05,0.0,162.46,134.23,"均线多头, 站上均线",其他,1.4,2.48
002768,国恩股份,63.92,3.18,3.87,0.0,4.3,0.0,20.16,192.56,"均线多头, 站上均线",其他,0.31,2.37
603075,热威股份,26.52,3.15,19.23,0.0,2.05,0.0,32.74,106.74,"站上均线, 突破10日高点, 连续上涨, 放量",其他,3.16,2.99
603439,三力制药,14.23,3.12,6.21,0.0,3.51,0.0,129.36,58.19,"均线多头, 站上均线, 突破10日高点, 放量",其他,8.01,12.71
603893,瑞芯微,201.91,3.1,6.44,0.0,55.14,0.0,81.42,850.03,"均线多头, 站上均线, 突破10日高点",其他,2.7,6.04
300708,聚灿光电,10.04,3.08,11.38,0.0,8.08,0.0,35.86,94.27,站上均线,其他,1.0,0.94
301322,绿通科技,53.5,3.06,15.99,0.0,7.92,0.0,172.58,76.32,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,10.63,22.69
301555,惠柏新材,43.66,3.04,14.39,0.0,2.92,0.0,55.27,40.28,均线多头,其他,-0.74,2.34
300274,阳光电源,184.09,2.85,7.13,0.0,211.87,0.0,28.11,3816.57,"均线多头, 站上均线",其他,1.96,8.14
002709,天赐材料,53.46,2.83,7.1,0.0,57.68,0.0,75.3,1089.82,站上均线,其他,2.18,1.3
301565,中仑新材,23.33,2.82,6.79,0.0,2.02,0.0,116.65,93.32,"均线多头, 站上均线, 突破10日高点, 放量",其他,4.32,4.94
600183,生益科技,131.76,2.8,4.61,0.0,148.02,0.0,94.79,3200.61,"均线多头, 站上均线",其他,0.52,5.9
603080,新疆火炬,24.25,2.75,5.82,0.0,1.99,0.0,16.27,34.31,均线多头,其他,-1.25,1.17
603269,海鸥股份,22.6,2.73,11.07,0.0,7.78,0.0,59.47,69.78,"均线多头, 站上均线, 突破10日高点",其他,5.11,8.53
301356,天振股份,26.5,2.71,3.8,0.0,1.27,0.0,67.95,57.24,"均线多头, 站上均线, 放量",其他,2.71,6.3
001258,立新能源,10.26,2.7,5.14,0.0,4.78,0.0,114.0,95.76,"均线多头, 站上均线, 连续上涨",其他,1.66,4.71
002106,莱宝高科,12.27,2.68,6.56,0.0,5.55,0.0,35.33,86.6,"站上均线, 突破10日高点, 放量",其他,3.6,3.52
002452,长高电新,12.33,2.66,9.78,0.0,6.21,0.0,22.32,76.49,"站上均线, 连续上涨",其他,0.52,0.91
600011,华能国际,7.71,2.66,1.84,0.0,15.53,0.0,10.42,1210.32,均线多头,其他,-2.76,-2.72
300623,捷捷微电,36.17,2.61,9.43,0.0,26.82,0.0,63.46,300.96,"均线多头, 站上均线",其他,2.32,4.64
002983,芯瑞达,27.48,2.61,8.87,0.0,3.07,0.0,49.07,61.46,"均线多头, 站上均线",其他,0.95,3.75
600197,伊力特,13.1,2.58,4.27,0.0,2.61,0.0,28.63,61.99,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,1.41,2.13
002940,昂利康,36.88,2.56,11.34,0.0,7.87,0.0,59.48,74.4,均线多头,其他,-3.87,2.51
002636,金安国纪,48.76,2.54,7.94,0.0,27.96,0.0,118.06,354.97,"站上均线, 放量",其他,4.42,2.51
300661,圣邦股份,119.39,2.34,5.13,0.0,37.62,0.0,134.74,741.02,均线多头,其他,-0.06,3.22
603605,珀莱雅,59.07,2.23,1.74,0.0,4.07,0.0,15.5,233.9,放量,其他,3.28,1.82
601101,昊华能源,10.72,2.19,2.51,0.0,3.89,0.0,29.78,154.37,均线多头,其他,-5.29,-4.53
002158,汉钟精机,32.03,2.14,4.15,0.0,7.17,0.0,36.54,171.27,"均线多头, 站上均线, 突破10日高点",其他,6.26,7.38
002920,德赛西威,112.04,2.14,3.73,0.0,25.04,0.0,25.76,668.67,"站上均线, 突破10日高点, 连续上涨, 放量",其他,6.36,6.02
