代码,名称,最新价,涨跌幅,市盈率,换手率,MA5,MA10,MA60,回调幅度,60日线趋势,距买点天数
600846,同济科技,10.05,-6.512,22.841,1.21499,10.84,11.17,12.26,2.65,平稳,4
600552,凯盛科技,20.59,-0.435,151.175,11.8618,21.55,20.12,15.74,5.94,平稳,4
600694,大商股份,14.42,0.139,10.155,0.93106,14.38,14.71,16.69,2.67,平稳,4
600598,北大荒,14.0,0.215,21.341,0.82816,14.08,14.26,15.86,5.64,平稳,4
600486,扬农化工,53.81,-0.902,16.879,1.43938,55.73,56.98,69.2,5.71,平稳,4
600405,动力源,4.23,-3.864,-8.135,1.54897,4.45,4.52,5.17,2.65,平稳,4
600583,海油工程,5.43,0.556,11.553,0.71833,5.54,5.62,6.46,6.2,平稳,4
600749,西藏旅游,16.12,-5.51,154.406,8.7608,16.04,15.45,16.52,19.87,平稳,4
600725,云维股份,3.8,0.529,-119.122,1.21442,3.87,3.92,4.21,3.72,平稳,4
600853,龙建股份,3.31,-3.499,8.711,1.20807,3.47,3.53,3.87,6.54,平稳,4
600380,健康元,9.82,-0.203,13.452,0.57072,9.79,9.93,10.71,0.74,平稳,5
600383,金地集团,2.48,-0.8,-0.844,0.77045,2.53,2.61,2.79,12.03,平稳,5
600345,长江通信,57.01,-1.093,86.379,8.26913,56.6,53.89,49.39,7.31,平稳,5
600351,亚宝药业,6.2,0.324,13.549,1.25129,6.16,6.24,6.55,4.52,平稳,5
600353,旭光电子,29.94,9.993,153.617,12.5641,26.82,25.24,18.58,2.62,平稳,5
600333,长春燃气,5.44,-0.183,-544.0,2.05755,5.52,5.65,5.61,5.59,平稳,5
300352,ST信源,2.54,-7.299,-10.897,3.7468,2.88,3.05,5.32,10.03,平稳,5
300198,*ST纳川,2.39,-2.049,-8.975,1.41397,2.42,2.38,2.52,4.82,平稳,5
300716,*ST泉为,19.32,4.207,-13.963,3.31065,18.03,16.59,14.95,12.98,平稳,5
600022,山东钢铁,1.28,0.0,128.0,0.56235,1.3,1.32,1.46,-0.7,平稳,5
600129,太极集团,13.02,-2.252,59.182,1.2517,13.35,13.83,15.5,2.19,平稳,5
002717,*ST岭南,1.21,5.217,-0.943,7.51149,1.16,1.07,1.41,0.61,平稳,5
002528,*ST英飞,4.78,-1.035,-19.728,0.62202,4.83,4.68,4.48,13.14,平稳,5
600359,新农开发,6.24,0.808,-312.0,1.59707,6.32,6.45,7.02,7.32,平稳,5
600313,农发种业,5.8,1.045,72.5,1.79936,5.91,6.02,7.15,8.22,平稳,5
600332,白云山,21.39,-0.512,11.657,0.43371,21.31,21.45,22.71,2.83,平稳,5
600195,中牧股份,6.62,-2.071,39.452,0.65439,6.61,6.66,7.41,7.87,平稳,5
600261,阳光照明,3.12,-2.5,22.286,0.86512,3.3,3.34,3.63,12.53,平稳,5
600184,光电股份,25.72,2.023,271.595,5.48681,25.82,26.22,22.59,10.51,平稳,5
600127,金健米业,5.79,1.047,981.356,1.7047,5.85,6.0,6.76,2.09,平稳,5
600169,ST太重,2.21,-0.897,31.083,0.26868,2.24,2.26,2.36,0.84,平稳,5
