代码,名称,最新价,涨跌幅,市盈率,换手率,突破类型,突破幅度,突破价位,量比,成交量放大,MACD多头,有效突破
603060,国检集团,7.49,0.0,50.438,3.21084,60日,2.74,7.29,0.91,False,True,True
601988,中国银行,6.2,-0.322,8.378,0.11493,60日,2.48,6.05,0.79,False,True,True
603386,骏亚科技,18.1,-2.636,-905.0,6.28672,60日,2.38,17.68,0.82,False,True,True
300951,博硕科技,43.7,0.483,50.814,2.39896,60日,2.25,42.74,0.8,False,True,True
600160,XD巨化股,41.0,2.474,29.286,4.92778,60日,2.24,40.1,1.35,False,True,True
601838,成都银行,19.76,-0.202,6.436,0.65985,60日,2.07,19.36,1.03,False,True,True
601208,东材科技,61.72,-1.01,202.96,11.0367,60日,2.02,60.5,1.09,False,True,True
002747,埃斯顿,33.35,-6.844,667.0,14.899,60日,8.38,30.77,0.98,False,False,True
603773,沃格光电,139.46,-10.003,-196.146,13.1429,60日,8.29,128.78,0.86,False,False,True
300319,麦捷科技,20.81,-5.752,57.854,20.8618,60日,5.85,19.66,0.81,False,False,True
002138,顺络电子,55.63,-4.58,42.792,8.54924,60日,5.2,52.88,0.73,False,False,True
600522,中天科技,49.27,-1.853,57.491,8.49439,60日,3.95,47.4,0.7,False,False,True
003036,泰坦股份,80.19,-0.509,364.5,4.27411,60日,2.26,78.42,0.71,False,False,True
001696,宗申动力,20.96,10.026,36.063,16.471,20日,16.57,17.98,1.57,True,True,True
300894,火星人,11.38,20.042,-15.589,8.36753,20日,4.98,10.84,2.2,True,True,True
300264,佳创视讯,10.97,17.452,-136.104,20.2305,20日,4.68,10.48,2.04,True,True,True
300481,濮阳惠成,17.03,20.014,37.844,14.4149,20日,2.04,16.69,2.48,True,True,True
301151,冠龙节能,19.33,-0.155,53.889,3.19901,20日,8.66,17.79,0.59,False,True,True
600458,时代新材,15.23,-2.121,25.814,5.7304,20日,8.24,14.07,0.71,False,True,True
603328,依顿电子,13.98,7.044,30.0,7.76959,20日,5.03,13.31,1.14,False,True,True
601211,国泰海通,17.22,0.997,9.897,1.10215,20日,4.87,16.42,1.01,False,True,True
